Number,Sex,Victim,Fake News type,Sources,Rip off
88,Female,0,Deliberate Misinformation,Word of Mouth,1
89,Female,0,Deliberate Misinformation,Word of Mouth,1
90,Female,1,Social Media Sharing,The Internet,0
91,Male,0,Social Media Sharing,Word of Mouth,1
92,Male,0,Social Media Sharing,Word of Mouth,0
93,Male,0,Deliberate Misinformation,The Internet,0
94,Female,0,Deliberate Misinformation,Social Media,1
95,Female,0,Deliberate Misinformation,Word of Mouth,1
96,Male,0,Deliberate Misinformation,Social Media,0
97,Female,0,Deliberate Misinformation,Social Media,1
98,Female,1,Deliberate Misinformation,Word of Mouth,1
99,Female,1,Deliberate Misinformation,The Internet,1
100,Male,0,Social Media Sharing,Social Media,0
101,Female,0,Social Media Sharing,The Internet,1
102,Male,0,Social Media Sharing,Word of Mouth,0
103,Female,0,Social Media Sharing,Social Media,0
104,Female,1,Deliberate Misinformation,The Internet,0
105,Female,0,Social Media Sharing,The Internet,0
106,Female,0,Social Media Sharing,Word of Mouth,0
107,Female,0,Deliberate Misinformation,Word of Mouth,1
108,Female,0,Social Media Sharing,The Internet,0
109,Male,0,Social Media Sharing,Social Media,0
110,Male,1,Social Media Sharing,Word of Mouth,0
111,Female,0,Social Media Sharing,Social Media,1
112,Male,0,Social Media Sharing,The Internet,0
113,Male,1,Social Media Sharing,The Internet,0
114,Male,0,Deliberate Misinformation,The Internet,1
115,Male,0,Social Media Sharing,Word of Mouth,0
116,Male,0,Social Media Sharing,Social Media,1
117,Male,1,Social Media Sharing,The Internet,0
118,Female,0,Social Media Sharing,Word of Mouth,1
119,Female,0,Social Media Sharing,Word of Mouth,1
120,Female,1,Social Media Sharing,Social Media,1
121,Male,0,Social Media Sharing,Social Media,1
122,Female,0,Social Media Sharing,Social Media,1
123,Female,1,Deliberate Misinformation,Word of Mouth,0
124,Female,0,Social Media Sharing,Word of Mouth,1
125,Male,0,Deliberate Misinformation,Word of Mouth,1
126,Female,1,Deliberate Misinformation,The Internet,0
127,Female,0,Social Media Sharing,The Internet,1
128,Male,1,Social Media Sharing,The Internet,0
129,Male,1,Deliberate Misinformation,Social Media,0
130,Female,0,Deliberate Misinformation,Word of Mouth,1
131,Male,1,Social Media Sharing,Word of Mouth,0
132,Male,0,Social Media Sharing,Social Media,0
133,Male,1,Deliberate Misinformation,The Internet,1
134,Male,0,Deliberate Misinformation,The Internet,0
135,Male,1,Deliberate Misinformation,Word of Mouth,1
136,Female,1,Deliberate Misinformation,Social Media,0
137,Female,1,Social Media Sharing,Word of Mouth,1
138,Male,0,Social Media Sharing,The Internet,0
139,Male,0,Social Media Sharing,The Internet,1
140,Male,0,Deliberate Misinformation,Word of Mouth,0
141,Male,0,Social Media Sharing,Social Media,1
142,Male,1,Deliberate Misinformation,Social Media,1
143,Male,1,Social Media Sharing,Word of Mouth,1
144,Male,1,Deliberate Misinformation,The Internet,0
145,Female,1,Deliberate Misinformation,The Internet,1
146,Female,0,Social Media Sharing,The Internet,1
147,Male,0,Deliberate Misinformation,The Internet,0
148,Female,0,Deliberate Misinformation,The Internet,1
149,Male,1,Social Media Sharing,The Internet,0
150,Male,1,Deliberate Misinformation,Word of Mouth,0
151,Female,0,Social Media Sharing,Social Media,0
152,Male,1,Social Media Sharing,Social Media,0
153,Female,0,Social Media Sharing,Social Media,1
154,Male,0,Deliberate Misinformation,The Internet,1
155,Female,1,Social Media Sharing,The Internet,1
156,Male,1,Deliberate Misinformation,Word of Mouth,0
157,Female,0,Social Media Sharing,Social Media,1
158,Male,1,Deliberate Misinformation,Social Media,1
159,Male,0,Social Media Sharing,The Internet,1
160,Male,0,Deliberate Misinformation,Word of Mouth,0
161,Female,1,Social Media Sharing,Word of Mouth,1
162,Female,0,Deliberate Misinformation,The Internet,0
163,Female,1,Deliberate Misinformation,The Internet,1
164,Female,0,Social Media Sharing,The Internet,1
165,Female,0,Social Media Sharing,Word of Mouth,1
166,Male,0,Social Media Sharing,Word of Mouth,1
167,Female,1,Deliberate Misinformation,Word of Mouth,0
168,Male,1,Social Media Sharing,Social Media,0
169,Male,0,Social Media Sharing,Social Media,1
170,Female,0,Social Media Sharing,Social Media,0
171,Male,1,Deliberate Misinformation,The Internet,0
172,Male,1,Deliberate Misinformation,The Internet,0
173,Female,0,Social Media Sharing,Social Media,0
174,Female,0,Social Media Sharing,The Internet,1
175,Male,1,Deliberate Misinformation,The Internet,1
176,Female,0,Social Media Sharing,Word of Mouth,0
177,Male,1,Deliberate Misinformation,The Internet,0
178,Male,0,Deliberate Misinformation,Social Media,1
179,Male,0,Deliberate Misinformation,Social Media,0
180,Female,1,Deliberate Misinformation,Word of Mouth,1
181,Female,0,Social Media Sharing,The Internet,1
182,Male,1,Deliberate Misinformation,The Internet,0
183,Female,0,Social Media Sharing,The Internet,0
184,Male,0,Deliberate Misinformation,Word of Mouth,0
185,Female,0,Social Media Sharing,Word of Mouth,0
186,Male,0,Deliberate Misinformation,Word of Mouth,0
187,Female,0,Social Media Sharing,Social Media,1
188,Female,1,Deliberate Misinformation,Word of Mouth,0
189,Male,1,Social Media Sharing,The Internet,1
190,Male,0,Deliberate Misinformation,Word of Mouth,1
191,Male,1,Deliberate Misinformation,The Internet,0
192,Male,0,Deliberate Misinformation,Social Media,0
193,Female,0,Deliberate Misinformation,The Internet,0
194,Female,1,Social Media Sharing,Word of Mouth,0
195,Male,1,Social Media Sharing,Word of Mouth,1
196,Female,0,Deliberate Misinformation,The Internet,0
197,Male,1,Social Media Sharing,Social Media,1
198,Female,1,Deliberate Misinformation,The Internet,1
199,Male,1,Social Media Sharing,Word of Mouth,0
200,Male,0,Social Media Sharing,Word of Mouth,0
201,Female,0,Social Media Sharing,Social Media,0
202,Female,0,Social Media Sharing,The Internet,0
203,Male,1,Social Media Sharing,Word of Mouth,0
204,Female,1,Deliberate Misinformation,Social Media,0
205,Female,1,Deliberate Misinformation,Social Media,1
206,Female,0,Deliberate Misinformation,The Internet,1
207,Female,1,Social Media Sharing,Word of Mouth,0
208,Female,1,Social Media Sharing,Social Media,1
209,Male,1,Social Media Sharing,Social Media,1
210,Female,0,Social Media Sharing,The Internet,0
211,Male,0,Deliberate Misinformation,The Internet,1
212,Male,1,Deliberate Misinformation,The Internet,0
213,Female,0,Social Media Sharing,The Internet,0
214,Male,1,Social Media Sharing,The Internet,1
215,Male,0,Deliberate Misinformation,The Internet,1
216,Male,0,Social Media Sharing,Social Media,0
217,Male,1,Deliberate Misinformation,The Internet,1
218,Male,1,Social Media Sharing,Word of Mouth,1
219,Male,1,Deliberate Misinformation,Word of Mouth,0
220,Male,0,Deliberate Misinformation,The Internet,1
221,Female,0,Deliberate Misinformation,The Internet,0
222,Female,0,Deliberate Misinformation,Word of Mouth,0
223,Female,0,Deliberate Misinformation,The Internet,1
224,Female,0,Social Media Sharing,The Internet,0
225,Female,1,Deliberate Misinformation,Word of Mouth,0
226,Female,1,Deliberate Misinformation,Word of Mouth,0
227,Male,0,Deliberate Misinformation,Social Media,0
228,Female,1,Social Media Sharing,Social Media,0
229,Male,1,Deliberate Misinformation,Word of Mouth,1
230,Male,1,Social Media Sharing,Word of Mouth,1
231,Female,1,Social Media Sharing,Word of Mouth,0
232,Male,0,Deliberate Misinformation,Social Media,0
233,Male,1,Deliberate Misinformation,The Internet,1
234,Female,0,Deliberate Misinformation,Word of Mouth,0
235,Female,1,Deliberate Misinformation,Social Media,1
236,Male,0,Deliberate Misinformation,The Internet,0
237,Male,0,Deliberate Misinformation,Word of Mouth,1
238,Female,0,Social Media Sharing,The Internet,0
239,Female,0,Social Media Sharing,Social Media,1
240,Male,1,Deliberate Misinformation,Social Media,1
241,Male,0,Social Media Sharing,Word of Mouth,1
242,Male,0,Deliberate Misinformation,Social Media,0
243,Male,1,Social Media Sharing,Word of Mouth,1
244,Male,1,Deliberate Misinformation,Social Media,1
245,Female,1,Social Media Sharing,The Internet,1
246,Male,0,Social Media Sharing,Word of Mouth,0
247,Male,1,Social Media Sharing,Word of Mouth,0
248,Male,1,Social Media Sharing,Social Media,1
249,Male,0,Deliberate Misinformation,Social Media,0
250,Female,0,Social Media Sharing,Social Media,1
251,Male,1,Social Media Sharing,The Internet,1
252,Male,0,Deliberate Misinformation,Social Media,1
253,Male,1,Deliberate Misinformation,Word of Mouth,0
254,Male,0,Social Media Sharing,The Internet,1
255,Male,1,Social Media Sharing,The Internet,0
256,Female,1,Social Media Sharing,The Internet,1
257,Female,0,Deliberate Misinformation,The Internet,0
258,Male,0,Deliberate Misinformation,Word of Mouth,1
259,Male,0,Deliberate Misinformation,Word of Mouth,0
260,Male,1,Deliberate Misinformation,Social Media,0
261,Female,1,Social Media Sharing,Word of Mouth,1
262,Male,1,Social Media Sharing,Word of Mouth,0
263,Female,1,Social Media Sharing,The Internet,0
264,Female,1,Social Media Sharing,The Internet,0
265,Male,0,Social Media Sharing,Social Media,1
266,Female,0,Social Media Sharing,Social Media,0
267,Female,0,Deliberate Misinformation,The Internet,1
268,Female,1,Deliberate Misinformation,The Internet,0
269,Female,1,Social Media Sharing,The Internet,0
270,Male,0,Social Media Sharing,The Internet,0
271,Female,0,Social Media Sharing,The Internet,0
272,Female,0,Social Media Sharing,The Internet,0
273,Female,1,Deliberate Misinformation,Word of Mouth,1
274,Male,1,Social Media Sharing,The Internet,0
275,Female,1,Social Media Sharing,Social Media,1
276,Male,0,Deliberate Misinformation,Social Media,1
277,Female,0,Social Media Sharing,The Internet,0
278,Female,0,Deliberate Misinformation,Social Media,1
279,Female,0,Social Media Sharing,Social Media,0
280,Female,1,Deliberate Misinformation,The Internet,0
281,Male,0,Deliberate Misinformation,The Internet,1
282,Male,1,Social Media Sharing,The Internet,0
283,Female,1,Deliberate Misinformation,The Internet,0
284,Male,1,Deliberate Misinformation,Social Media,0
285,Male,1,Deliberate Misinformation,The Internet,1
286,Male,1,Social Media Sharing,Word of Mouth,0
287,Female,0,Social Media Sharing,Word of Mouth,0
288,Female,0,Deliberate Misinformation,Social Media,0
289,Male,0,Social Media Sharing,Word of Mouth,1
290,Female,0,Social Media Sharing,The Internet,0
291,Female,0,Deliberate Misinformation,Social Media,1
292,Male,0,Deliberate Misinformation,Social Media,1
293,Male,0,Social Media Sharing,Social Media,0
294,Female,1,Deliberate Misinformation,Word of Mouth,1
295,Male,1,Social Media Sharing,Word of Mouth,0
296,Male,0,Social Media Sharing,The Internet,1
297,Male,1,Deliberate Misinformation,The Internet,0
298,Female,1,Deliberate Misinformation,Social Media,0
299,Male,0,Deliberate Misinformation,Word of Mouth,0
300,Female,1,Social Media Sharing,Word of Mouth,1
301,Male,0,Social Media Sharing,The Internet,1
302,Female,1,Deliberate Misinformation,Social Media,1
303,Male,1,Deliberate Misinformation,The Internet,0
304,Male,0,Social Media Sharing,Social Media,0
305,Male,1,Deliberate Misinformation,Social Media,1
306,Female,0,Deliberate Misinformation,Social Media,1
307,Female,0,Deliberate Misinformation,Word of Mouth,1
308,Female,1,Deliberate Misinformation,Word of Mouth,0
309,Female,1,Social Media Sharing,Social Media,0
310,Female,0,Deliberate Misinformation,The Internet,0
311,Female,1,Social Media Sharing,Social Media,0
312,Male,0,Deliberate Misinformation,The Internet,1
313,Female,0,Deliberate Misinformation,Word of Mouth,1
314,Male,0,Social Media Sharing,Word of Mouth,1
315,Female,0,Deliberate Misinformation,Social Media,1
316,Female,0,Social Media Sharing,Word of Mouth,1
317,Female,0,Social Media Sharing,Word of Mouth,1
318,Female,1,Deliberate Misinformation,Social Media,1
319,Female,0,Social Media Sharing,Social Media,1
320,Male,0,Social Media Sharing,Social Media,1
321,Male,0,Social Media Sharing,Word of Mouth,0
322,Male,0,Deliberate Misinformation,Social Media,0
323,Male,1,Deliberate Misinformation,Word of Mouth,1
324,Male,1,Deliberate Misinformation,Word of Mouth,0
325,Female,0,Social Media Sharing,The Internet,0
326,Female,0,Deliberate Misinformation,Social Media,1
327,Male,1,Social Media Sharing,Social Media,0
328,Male,1,Social Media Sharing,Word of Mouth,1
329,Male,0,Deliberate Misinformation,The Internet,0
330,Male,1,Deliberate Misinformation,The Internet,1
331,Male,1,Social Media Sharing,Social Media,0
332,Male,0,Deliberate Misinformation,Social Media,0
333,Male,1,Social Media Sharing,Social Media,1
334,Female,1,Social Media Sharing,Social Media,0
335,Male,0,Social Media Sharing,Word of Mouth,0
336,Female,1,Deliberate Misinformation,Social Media,0
337,Male,0,Deliberate Misinformation,The Internet,1
338,Female,1,Social Media Sharing,Word of Mouth,1
339,Female,1,Social Media Sharing,Word of Mouth,0
340,Female,1,Social Media Sharing,Social Media,0
341,Female,1,Social Media Sharing,Social Media,0
342,Female,0,Deliberate Misinformation,The Internet,0
343,Female,0,Deliberate Misinformation,Word of Mouth,0
344,Female,0,Deliberate Misinformation,The Internet,0
345,Female,0,Social Media Sharing,Social Media,0
346,Female,0,Social Media Sharing,The Internet,0
347,Female,1,Social Media Sharing,Social Media,0
348,Male,0,Deliberate Misinformation,Social Media,0
349,Female,0,Deliberate Misinformation,Word of Mouth,1
350,Male,0,Social Media Sharing,Word of Mouth,1
351,Male,0,Deliberate Misinformation,Word of Mouth,1
352,Male,0,Social Media Sharing,Social Media,1
353,Male,1,Social Media Sharing,Social Media,0
354,Female,1,Social Media Sharing,Word of Mouth,1
355,Male,0,Social Media Sharing,The Internet,1
356,Male,0,Social Media Sharing,The Internet,1
357,Male,0,Social Media Sharing,Word of Mouth,0
358,Male,1,Deliberate Misinformation,Word of Mouth,1
359,Female,0,Social Media Sharing,Social Media,0
360,Female,0,Deliberate Misinformation,Word of Mouth,1
361,Female,1,Social Media Sharing,Social Media,1
362,Female,0,Deliberate Misinformation,Word of Mouth,0
363,Female,0,Social Media Sharing,The Internet,0
364,Male,1,Social Media Sharing,The Internet,1
365,Male,0,Social Media Sharing,Word of Mouth,1
366,Male,0,Deliberate Misinformation,Social Media,1
367,Female,1,Social Media Sharing,Social Media,0
368,Female,0,Deliberate Misinformation,Word of Mouth,0
369,Female,1,Deliberate Misinformation,The Internet,1
370,Female,0,Social Media Sharing,Word of Mouth,0
371,Female,0,Social Media Sharing,Word of Mouth,0
372,Female,1,Social Media Sharing,The Internet,1
373,Male,1,Deliberate Misinformation,The Internet,0
374,Male,0,Social Media Sharing,The Internet,1
375,Male,0,Social Media Sharing,Word of Mouth,1
376,Female,1,Deliberate Misinformation,Word of Mouth,1
377,Male,1,Deliberate Misinformation,The Internet,0
378,Male,1,Social Media Sharing,Social Media,1
379,Female,0,Social Media Sharing,Word of Mouth,0
380,Female,0,Deliberate Misinformation,Social Media,1
381,Male,1,Social Media Sharing,The Internet,1
382,Male,1,Deliberate Misinformation,Social Media,0
383,Male,1,Deliberate Misinformation,The Internet,0
384,Male,0,Social Media Sharing,The Internet,0
385,Male,1,Deliberate Misinformation,Word of Mouth,1
386,Male,0,Social Media Sharing,The Internet,0
387,Female,1,Social Media Sharing,The Internet,1
388,Female,0,Social Media Sharing,The Internet,1
389,Male,0,Deliberate Misinformation,The Internet,0
390,Male,0,Deliberate Misinformation,Word of Mouth,0
391,Female,1,Social Media Sharing,Social Media,1
392,Female,1,Social Media Sharing,Word of Mouth,0
393,Male,0,Social Media Sharing,Social Media,0
394,Male,1,Social Media Sharing,Word of Mouth,0
395,Male,0,Deliberate Misinformation,Social Media,1
396,Male,1,Deliberate Misinformation,Social Media,1
397,Female,0,Deliberate Misinformation,Word of Mouth,1
398,Female,1,Deliberate Misinformation,The Internet,0
399,Male,0,Social Media Sharing,Social Media,1
400,Male,1,Deliberate Misinformation,The Internet,1
401,Female,1,Deliberate Misinformation,Social Media,1
402,Male,0,Social Media Sharing,The Internet,1
403,Male,1,Social Media Sharing,Social Media,1
404,Male,1,Social Media Sharing,Word of Mouth,1
405,Male,0,Social Media Sharing,Social Media,1
406,Female,0,Deliberate Misinformation,The Internet,1
407,Male,0,Deliberate Misinformation,Social Media,1
408,Male,0,Deliberate Misinformation,The Internet,1
409,Female,1,Deliberate Misinformation,Word of Mouth,1
410,Male,0,Social Media Sharing,Social Media,0
411,Female,1,Social Media Sharing,The Internet,0
412,Female,0,Social Media Sharing,The Internet,1
413,Female,0,Deliberate Misinformation,Social Media,0
414,Female,1,Deliberate Misinformation,Word of Mouth,1
415,Female,0,Deliberate Misinformation,Word of Mouth,1
416,Male,1,Social Media Sharing,Social Media,1
417,Male,1,Social Media Sharing,Social Media,1
418,Male,0,Deliberate Misinformation,The Internet,0
419,Female,0,Deliberate Misinformation,Social Media,0
420,Female,1,Social Media Sharing,Word of Mouth,1
421,Male,0,Deliberate Misinformation,The Internet,0
422,Female,0,Social Media Sharing,Word of Mouth,0
423,Female,0,Deliberate Misinformation,The Internet,0
424,Male,0,Social Media Sharing,Word of Mouth,1
425,Male,1,Social Media Sharing,Word of Mouth,1
426,Male,1,Deliberate Misinformation,Word of Mouth,1
427,Female,1,Deliberate Misinformation,Word of Mouth,1
428,Male,0,Social Media Sharing,Word of Mouth,0
429,Female,1,Deliberate Misinformation,Word of Mouth,1
430,Female,0,Social Media Sharing,The Internet,1
431,Female,0,Social Media Sharing,Word of Mouth,1
432,Male,0,Deliberate Misinformation,Social Media,1
433,Female,0,Deliberate Misinformation,Word of Mouth,0
434,Male,1,Social Media Sharing,Word of Mouth,0
435,Female,0,Deliberate Misinformation,Word of Mouth,1
436,Female,1,Social Media Sharing,Social Media,1
437,Male,1,Deliberate Misinformation,The Internet,1
438,Female,0,Social Media Sharing,Word of Mouth,1
439,Female,0,Deliberate Misinformation,The Internet,0
440,Male,1,Deliberate Misinformation,Word of Mouth,0
441,Female,1,Deliberate Misinformation,The Internet,1
442,Male,0,Social Media Sharing,Word of Mouth,1
443,Male,0,Social Media Sharing,Social Media,1
444,Male,1,Social Media Sharing,Social Media,1
445,Female,0,Deliberate Misinformation,Social Media,0
446,Male,0,Deliberate Misinformation,Social Media,0
447,Male,1,Deliberate Misinformation,Social Media,1
448,Female,1,Deliberate Misinformation,Social Media,1
449,Male,0,Deliberate Misinformation,The Internet,1
450,Male,0,Social Media Sharing,Word of Mouth,1
451,Female,0,Social Media Sharing,The Internet,0
452,Male,1,Deliberate Misinformation,Word of Mouth,1
453,Male,0,Deliberate Misinformation,Word of Mouth,1
454,Female,0,Social Media Sharing,Word of Mouth,1
455,Female,1,Deliberate Misinformation,The Internet,1
456,Male,0,Social Media Sharing,The Internet,0
457,Female,0,Deliberate Misinformation,Social Media,1
458,Male,1,Social Media Sharing,Word of Mouth,0
459,Female,1,Deliberate Misinformation,Word of Mouth,1
460,Male,0,Social Media Sharing,Social Media,1
461,Female,1,Deliberate Misinformation,Social Media,0
462,Male,0,Social Media Sharing,Word of Mouth,1
463,Male,0,Social Media Sharing,The Internet,1
464,Female,0,Social Media Sharing,Social Media,0
465,Male,1,Deliberate Misinformation,Word of Mouth,0
466,Female,1,Deliberate Misinformation,The Internet,1
467,Male,0,Deliberate Misinformation,Word of Mouth,1
468,Male,1,Social Media Sharing,The Internet,1
469,Male,0,Deliberate Misinformation,The Internet,0
470,Male,1,Deliberate Misinformation,The Internet,0
471,Female,0,Social Media Sharing,The Internet,1
472,Male,1,Social Media Sharing,Word of Mouth,1
473,Male,0,Deliberate Misinformation,Social Media,1
474,Male,0,Deliberate Misinformation,Word of Mouth,0
475,Female,1,Deliberate Misinformation,Social Media,0
476,Female,1,Deliberate Misinformation,Social Media,0
477,Female,0,Deliberate Misinformation,Word of Mouth,0
478,Male,1,Deliberate Misinformation,The Internet,0
479,Male,1,Deliberate Misinformation,Social Media,0
480,Female,1,Deliberate Misinformation,The Internet,0
481,Female,1,Social Media Sharing,Social Media,0
482,Male,1,Social Media Sharing,Social Media,0
483,Male,0,Deliberate Misinformation,Word of Mouth,0
484,Male,1,Social Media Sharing,Social Media,1
485,Male,0,Social Media Sharing,Word of Mouth,1
486,Female,0,Social Media Sharing,Social Media,1
487,Female,0,Social Media Sharing,The Internet,1
488,Female,1,Social Media Sharing,Word of Mouth,1
489,Female,1,Deliberate Misinformation,The Internet,1
490,Male,1,Social Media Sharing,The Internet,0
491,Male,0,Deliberate Misinformation,Word of Mouth,0
492,Male,1,Social Media Sharing,Social Media,1
493,Female,0,Deliberate Misinformation,Social Media,1
494,Male,0,Deliberate Misinformation,Social Media,0
495,Female,0,Social Media Sharing,Social Media,1
496,Male,1,Deliberate Misinformation,Social Media,1
497,Male,1,Deliberate Misinformation,Social Media,0
498,Female,0,Deliberate Misinformation,Word of Mouth,1
499,Male,1,Social Media Sharing,Social Media,1
500,Female,0,Deliberate Misinformation,The Internet,0
501,Male,1,Deliberate Misinformation,The Internet,0
502,Male,0,Social Media Sharing,Word of Mouth,0
503,Male,0,Social Media Sharing,Word of Mouth,0
504,Female,1,Deliberate Misinformation,Word of Mouth,1
505,Male,1,Social Media Sharing,The Internet,0
506,Male,1,Deliberate Misinformation,Word of Mouth,1
507,Male,0,Deliberate Misinformation,Word of Mouth,0
508,Female,0,Social Media Sharing,Social Media,1
509,Male,1,Social Media Sharing,The Internet,1
510,Male,1,Deliberate Misinformation,Word of Mouth,1
511,Female,1,Deliberate Misinformation,The Internet,1
512,Female,0,Social Media Sharing,Word of Mouth,1
513,Female,1,Deliberate Misinformation,The Internet,0
514,Male,1,Social Media Sharing,The Internet,1
515,Female,0,Deliberate Misinformation,The Internet,1
516,Male,0,Deliberate Misinformation,The Internet,1
517,Male,1,Social Media Sharing,Social Media,0
518,Female,0,Social Media Sharing,Social Media,0
519,Female,1,Social Media Sharing,Social Media,1
520,Female,0,Deliberate Misinformation,The Internet,1
521,Female,1,Social Media Sharing,Social Media,0
522,Female,1,Deliberate Misinformation,The Internet,1
523,Male,1,Deliberate Misinformation,Social Media,1
524,Female,0,Deliberate Misinformation,Social Media,0
525,Male,0,Deliberate Misinformation,The Internet,1
526,Male,1,Deliberate Misinformation,The Internet,0
527,Male,1,Deliberate Misinformation,Word of Mouth,1
528,Male,1,Social Media Sharing,The Internet,1
529,Female,0,Social Media Sharing,Social Media,1
530,Male,1,Deliberate Misinformation,Social Media,0
531,Male,0,Deliberate Misinformation,The Internet,1
532,Male,1,Social Media Sharing,Word of Mouth,1
533,Male,0,Deliberate Misinformation,The Internet,0
534,Female,1,Social Media Sharing,Word of Mouth,1
535,Female,0,Social Media Sharing,Word of Mouth,0
536,Male,1,Deliberate Misinformation,Word of Mouth,0
537,Female,1,Deliberate Misinformation,Social Media,0
538,Female,0,Deliberate Misinformation,The Internet,1
539,Female,0,Social Media Sharing,Social Media,0
540,Female,0,Deliberate Misinformation,Word of Mouth,0
541,Female,1,Deliberate Misinformation,The Internet,0
542,Female,0,Social Media Sharing,Social Media,1
543,Male,0,Deliberate Misinformation,Word of Mouth,0
544,Male,0,Deliberate Misinformation,Social Media,1
545,Female,1,Social Media Sharing,Social Media,1
546,Male,1,Deliberate Misinformation,Word of Mouth,0
547,Female,1,Social Media Sharing,Word of Mouth,1
548,Male,0,Social Media Sharing,The Internet,0
549,Male,0,Social Media Sharing,Social Media,0
550,Female,0,Social Media Sharing,Word of Mouth,1
551,Male,1,Deliberate Misinformation,Social Media,0
552,Female,0,Deliberate Misinformation,Social Media,0
553,Female,0,Deliberate Misinformation,Social Media,0
554,Male,1,Social Media Sharing,Word of Mouth,0
555,Female,0,Deliberate Misinformation,Word of Mouth,0
556,Female,1,Deliberate Misinformation,The Internet,0
557,Male,1,Social Media Sharing,The Internet,1
558,Female,1,Deliberate Misinformation,The Internet,0
